,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,
1,,,,
2,,DAY,TOPIC,Time
3,,1,Linear Data,3hr
4,,2,Linear Data,3hr
5,,3,Linear Data,3hr
6,,4,Linear Data,3hr
7,,5,Strings,3hr
8,,6,Strings,3hr
9,,7,Stacks and Queues,3hr
10,,8,Linked Lists,3hr
11,,9,Linked Lists,3hr
12,,10,Trees,3hr
13,,11,Trees,3hr
14,,12,Trees,3hr
15,,13,Graphs,3hr
16,,14,Graphs,3hr
17,,15,Graphs,3hr
18,,16,Divide and Conquer,3hr
19,,17,Recursion and Backtracking,3hr
20,,18,Recursion and Backtracking,3hr
21,,19,Greedy,3hr
22,,20,Greedy,3hr
23,,21,Dynamic Programming,3hr
24,,22,Dynamic Programming,3hr
25,,23,Dynamic Programming,3hr
26,,24,Dynamic Programming,3hr
